Symbol,Year,Opening Price,Closing Price
ADANIPORTS,2019,388.0,366.0
ADANIPORTS,2020,368.0,483.75
ADANIPORTS,2021,485.0,730.05
COALINDIA,2019,240.9,211.35
COALINDIA,2020,211.35,135.45
COALINDIA,2021,135.4,133.05
DRREDDY,2019,2606.0,2874.55
DRREDDY,2020,2880.0,5205.1
DRREDDY,2021,5217.25,5163.1
EICHERMOT,2019,22340.0,22515.25
EICHERMOT,2020,22515.25,2530.9
EICHERMOT,2021,2531.0,2421.65
HEROMOTOCO,2019,3115.0,2443.05
HEROMOTOCO,2020,2454.9,3110.0
HEROMOTOCO,2021,3115.0,2819.15
IOC,2019,137.3,125.55
IOC,2020,125.95,90.95
IOC,2021,91.3,90.85
NTPC,2019,147.95,119.05
NTPC,2020,119.05,99.35
NTPC,2021,99.95,102.45
POWERGRID,2019,199.1,190.25
POWERGRID,2020,190.55,189.85
POWERGRID,2021,189.0,220.05
TATAMOTORS,2019,170.6,185.15
TATAMOTORS,2020,185.15,183.85
TATAMOTORS,2021,184.95,293.85
VEDL,2019,200.0,152.45
VEDL,2020,152.8,161.4
VEDL,2021,161.8,257.25
